Id,Sold Price
47439,2175624.0
47440,1136316.0
47441,2127240.0
47442,2094756.0
47443,1556180.0
47444,1058540.0
47445,2275880.0
47446,1191656.0
47447,2533848.0
47448,1051272.0
47449,582496.0
47450,808992.0
47451,625236.0
47452,507072.0
47453,199372.0
47454,356848.0
47455,-121848.0
47456,1731964.0
47457,489196.0
47458,-262860.0
47459,205424.0
47460,3293780.0
47461,1742272.0
47462,1253592.0
47463,1828948.0
47464,1418692.0
47465,988820.0
47466,1358700.0
47467,1463088.0
47468,5843484.0
47469,382184.0
47470,-842876.0
47471,1266940.0
47472,829736.0
47473,2244400.0
47474,841144.0
47475,3346144.0
47476,371796.0
47477,120972.0
47478,336424.0
47479,913440.0
47480,-365496.0
47481,-64704.0
47482,2404612.0
47483,837420.0
47484,3964456.0
47485,774728.0
47486,574520.0
47487,1134676.0
47488,1295964.0
47489,1503528.0
47490,1243000.0
47491,204580.0
47492,900536.0
47493,287884.0
47494,671692.0
47495,37476.0
47496,2738112.0
47497,3371992.0
47498,2044876.0
47499,209080.0
47500,301008.0
47501,-541380.0
47502,271376.0
47503,-221496.0
47504,609756.0
47505,2417320.0
47506,2151480.0
47507,833700.0
47508,421668.0
47509,574056.0
47510,1003936.0
47511,267804.0
47512,440408.0
47513,45272.0
47514,1349780.0
47515,86232.0
47516,426540.0
47517,-545900.0
47518,2073980.0
47519,635320.0
47520,2399808.0
47521,3410860.0
47522,-621384.0
47523,1754388.0
47524,607532.0
47525,2445200.0
47526,217168.0
47527,1523864.0
47528,-788764.0
47529,530824.0
47530,1641136.0
47531,2388740.0
47532,934132.0
47533,1657596.0
47534,748324.0
47535,-561012.0
47536,2436632.0
47537,3868492.0
47538,884492.0
47539,1281708.0
47540,445144.0
47541,-262860.0
47542,548176.0
47543,1448444.0
47544,1213600.0
47545,1353256.0
47546,614344.0
47547,1344372.0
47548,2493980.0
47549,-5911812.0
47550,5330156.0
47551,1157648.0
47552,59596.0
47553,926308.0
47554,239220.0
47555,760268.0
47556,1318272.0
47557,386792.0
47558,1195616.0
47559,-113508.0
47560,545448.0
47561,1765000.0
47562,1238472.0
47563,1350616.0
47564,218560.0
47565,2083240.0
47566,1565860.0
47567,1229884.0
47568,2034816.0
47569,372904.0
47570,520936.0
47571,827220.0
47572,144792.0
47573,1538008.0
47574,304384.0
47575,1456608.0
47576,848164.0
47577,1499020.0
47578,585592.0
47579,651744.0
47580,310464.0
47581,1977304.0
47582,480596.0
47583,1210988.0
47584,497080.0
47585,-26660.0
47586,648924.0
47587,440752.0
47588,1672528.0
47589,233256.0
47590,-6801368.0
47591,1680600.0
47592,2637228.0
47593,472540.0
47594,698324.0
47595,744172.0
47596,3023476.0
47597,596576.0
47598,-251448.0
47599,3102028.0
47600,3731412.0
47601,184000.0
47602,830608.0
47603,355248.0
47604,469288.0
47605,728244.0
47606,541288.0
47607,479344.0
47608,-425896.0
47609,527508.0
47610,838436.0
47611,3332284.0
47612,-123224.0
47613,1384544.0
47614,-891652.0
47615,642388.0
47616,474328.0
47617,1909872.0
47618,412712.0
47619,236492.0
47620,1562984.0
47621,866756.0
47622,1511708.0
47623,878480.0
47624,998984.0
47625,498076.0
47626,-669304.0
47627,-39484.0
47628,-266364.0
47629,1173280.0
47630,1256492.0
47631,1977476.0
47632,178768.0
47633,1001904.0
47634,1068472.0
47635,1152720.0
47636,500300.0
47637,1421712.0
47638,2129456.0
47639,733964.0
47640,962200.0
47641,836132.0
47642,611876.0
47643,772596.0
47644,1281988.0
47645,681460.0
47646,418964.0
47647,1930556.0
47648,392744.0
47649,217336.0
47650,1394592.0
47651,-449424.0
47652,422248.0
47653,851476.0
47654,1481256.0
47655,1042588.0
47656,2992844.0
47657,2232444.0
47658,1815032.0
47659,1770788.0
47660,818112.0
47661,1287464.0
47662,132116.0
47663,1456904.0
47664,1995064.0
47665,2316244.0
47666,1337276.0
47667,1143176.0
47668,968520.0
47669,916928.0
47670,443196.0
47671,757984.0
47672,2313228.0
47673,655752.0
47674,606280.0
47675,735096.0
47676,1313884.0
47677,2094460.0
47678,1655588.0
47679,2996672.0
47680,268420.0
47681,905224.0
47682,381724.0
47683,263536.0
47684,1810148.0
47685,1077568.0
47686,1738516.0
47687,2074432.0
47688,885328.0
47689,923508.0
47690,4844600.0
47691,2322796.0
47692,352712.0
47693,-39804.0
47694,149396.0
47695,1827448.0
47696,-312600.0
47697,1679376.0
47698,422424.0
47699,-505772.0
47700,1492964.0
47701,783872.0
47702,3410224.0
47703,-310516.0
47704,543436.0
47705,889884.0
47706,979096.0
47707,2418980.0
47708,732012.0
47709,1556432.0
47710,1187808.0
47711,620552.0
47712,1227924.0
47713,1806088.0
47714,706808.0
47715,1462332.0
47716,1266508.0
47717,76876.0
47718,649752.0
47719,821192.0
47720,899716.0
47721,1486616.0
47722,1072436.0
47723,503648.0
47724,670860.0
47725,803504.0
47726,1423176.0
47727,1945028.0
47728,918128.0
47729,3063916.0
47730,-8064.0
47731,920516.0
47732,277220.0
47733,1347596.0
47734,4952388.0
47735,1419968.0
47736,963624.0
47737,544708.0
47738,-321252.0
47739,189976.0
47740,1132328.0
47741,378268.0
47742,812740.0
47743,2297460.0
47744,1321892.0
47745,924684.0
47746,1522816.0
47747,330704.0
47748,1147696.0
47749,1453200.0
47750,1003232.0
47751,1477884.0
47752,986496.0
47753,-343096.0
47754,1085232.0
47755,2521396.0
47756,1373396.0
47757,391048.0
47758,81564.0
47759,2665856.0
47760,1725916.0
47761,839132.0
47762,692296.0
47763,1746364.0
47764,1062576.0
47765,1312308.0
47766,861488.0
47767,291216.0
47768,533808.0
47769,1411292.0
47770,1946568.0
47771,1118060.0
47772,1016236.0
47773,1161660.0
47774,1895964.0
47775,689320.0
47776,676240.0
47777,1133056.0
47778,1434500.0
47779,1856840.0
47780,-53568.0
47781,1446892.0
47782,1117520.0
47783,292784.0
47784,842048.0
47785,2002608.0
47786,2054368.0
47787,844296.0
47788,573180.0
47789,3884076.0
47790,1170928.0
47791,1419828.0
